Referee,Ref_Matches,Ref_AvgYellows,Ref_AvgReds,Ref_AvgFouls,Ref_StrictnessScore
A Kitchen,2,2.0,0.0,27.0,2.0
A Madley,67,3.82,0.09,22.88,4.09
A Marriner,13,3.54,0.15,19.15,4.0
A Taylor,87,3.77,0.15,20.78,4.22
C Kavanagh,57,3.74,0.16,21.18,4.21
C Pawson,62,4.11,0.11,22.82,4.45
D Bond,23,4.04,0.17,21.52,4.57
D Coote,43,4.4,0.14,23.98,4.81
D England,49,4.08,0.14,22.12,4.51
D Webb,2,3.5,0.0,23.5,3.5
G Scott,12,2.5,0.17,18.67,3.0
J Brooks,58,4.4,0.1,22.05,4.71
J Gillett,53,3.85,0.04,20.28,3.96
J Gillett ,1,2.0,0.0,20.0,2.0
J Smith,8,3.88,0.25,22.12,4.62
K Kavanagh,1,3.0,0.0,27.0,3.0
L Smith,9,4.11,0.22,23.89,4.78
M Donohue,2,6.5,0.0,31.5,6.5
M Oliver,79,3.66,0.14,21.73,4.08
M Salisbury,44,3.68,0.18,22.95,4.23
O Oliver,1,5.0,0.0,21.0,5.0
P Bankes,54,4.17,0.07,21.44,4.39
P Tierney,55,3.64,0.09,21.33,3.91
R Jones,70,4.17,0.13,23.53,4.56
R Madley,2,4.5,0.5,23.0,6.0
R Welch,2,4.0,0.5,26.5,5.5
S Allison,4,4.75,0.0,27.0,4.75
S Attwell,61,3.7,0.15,20.39,4.15
S Barrott,38,4.03,0.05,20.74,4.18
S Hooper,77,4.12,0.08,20.91,4.35
S Singh,1,5.0,0.0,31.0,5.0
T Bramall,30,3.8,0.23,23.03,4.5
T Harrington,34,3.88,0.12,22.24,4.24
T Robinson,39,4.26,0.05,23.21,4.41
